vin,county,city,state,postal_code,model_year,make,model,electric_vehicle_type,cafv_eligibility,electric_range,base_msrp,legislative_district,dol_vehicle_id,vehicle_location,electric_utility,census_tract
YV4H60DK9R,Spokane,Spokane,WA,99203,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,6,262230153,POINT (-117.402924 47.63041),MODERN ELECTRIC WATER COMPANY,53063004300
1G1RC6E49B,Thurston,Olympia,WA,98503,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,2,119632138,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011627
SADHC2S19L,King,Burien,WA,98168,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,34,124426739,POINT (-122.297205 47.486649),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027000
3C3CFFGE3J,Chelan,Wenatchee,WA,98801,2018,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,12,196477319,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007961001
YV4H60CZ6N,Snohomish,Lynnwood,WA,98087,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,21,206902314,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041901
WDDVP9AB0F,King,Shoreline,WA,98155,2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,32,134943441,POINT (-122.301507 47.761784),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
5YJXCBE44L,Snohomish,Everett,WA,98208,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,44,133829412,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
KM8JBDD20R,Kitsap,Bainbridge Island,WA,98110,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,23,260280240,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
2C4RC1L74L,Pierce,Puyallup,WA,98374,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,25,136992733,POINT (-122.2697305 47.1355186),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071211
1G1RF6E41D,Yakima,Yakima,WA,98908,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,134546310,POINT (-120.611068 46.596645),PACIFICORP,53077002900
